engine,symbol,tf,profile,n_trades_batch,max_dd_%_batch,total_return_%_batch,win_rate_%_batch,profit_factor_batch,n_trades_causal,max_dd_%_causal,total_return_%_causal,win_rate_%_causal,profit_factor_causal,gate,stop
v7,BNBUSDT,,MODERE,498,-7.7,39.4,50.6,1.94,543,-10.8,11.8,41.8,1.33,H4_valide_par_D1,D1_reel
v7,BNBUSDT,,AGRESSIF,499,-18.6,141.7,50.7,1.95,544,-23.5,32.6,41.4,1.32,H4_valide_par_D1,H4_meme_UT
v7,BNBUSDT,,AGRESSIF,1209,-24.5,462.0,46.5,1.81,1399,-31.7,121.8,40.3,1.36,H4_seul (=v6),H4_meme_UT
v7,BNBUSDT,,AGRESSIF,498,-13.3,65.6,50.6,1.93,543,-15.9,17.9,41.8,1.31,H4_valide_par_D1,D1_reel
v7,BNBUSDT,,TRES_AGRESSIF,499,-20.6,204.6,49.7,2.04,544,-31.9,57.3,40.4,1.42,H4_valide_par_D1,H4_meme_UT
v7,BNBUSDT,,TRES_AGRESSIF,1209,-33.7,885.1,45.8,1.93,1399,-33.7,330.3,40.2,1.52,H4_seul (=v6),H4_meme_UT
v7,BNBUSDT,,TRES_AGRESSIF,498,-21.1,125.5,49.6,2.03,543,-24.9,24.7,40.9,1.3,H4_valide_par_D1,D1_reel
v7,SOLUSDT,,FAIBLE,341,-5.8,17.9,56.3,1.78,361,-8.7,24.5,41.6,1.82,H4_valide_par_D1,H4_meme_UT
v7,SOLUSDT,,FAIBLE,1199,-13.7,350.8,48.5,2.47,1239,-21.2,182.0,38.8,1.79,H4_seul (=v6),H4_meme_UT
v7,SOLUSDT,,FAIBLE,336,-7.9,5.5,54.5,1.5,361,-3.6,6.9,41.0,1.54,H4_valide_par_D1,D1_reel
v7,SOLUSDT,,MODERE,341,-9.1,37.8,55.4,1.77,361,-17.9,63.0,41.3,1.92,H4_valide_par_D1,H4_meme_UT
v7,SOLUSDT,,MODERE,1199,-21.8,1652.0,47.5,2.5,1239,-35.8,603.8,37.9,1.81,H4_seul (=v6),H4_meme_UT
v7,SOLUSDT,,MODERE,336,-9.9,7.6,54.5,1.35,361,-8.6,16.4,41.0,1.59,H4_valide_par_D1,D1_reel
v7,SOLUSDT,,AGRESSIF,341,-17.4,52.8,55.4,1.67,361,-24.2,120.2,41.3,2.03,H4_valide_par_D1,H4_meme_UT
v7,SOLUSDT,,AGRESSIF,1199,-27.0,4721.1,47.5,2.47,1239,-46.9,1328.3,37.9,1.82,H4_seul (=v6),H4_meme_UT
v7,SOLUSDT,,AGRESSIF,336,-12.7,8.0,54.5,1.25,361,-13.0,29.4,41.0,1.66,H4_valide_par_D1,D1_reel
v7,SOLUSDT,,TRES_AGRESSIF,341,-22.0,75.8,54.8,1.64,361,-42.7,228.2,40.4,2.15,H4_valide_par_D1,H4_meme_UT
v7,SOLUSDT,,TRES_AGRESSIF,1199,-40.4,23878.4,46.8,2.71,1239,-53.1,4093.3,37.0,1.96,H4_seul (=v6),H4_meme_UT
v7,SOLUSDT,,TRES_AGRESSIF,336,-17.5,11.4,53.9,1.23,361,-26.3,58.2,40.2,1.72,H4_valide_par_D1,D1_reel
