symbol,profile,year,n_bars,max_risk_total_pct,n_range_trades,n_trend_trades,n_div_a_trades,n_div_b_trades,exceeds_5pct_global_cap,exceeds_2pct_diversification_cap,max_bar_index,max_date,max_risk_range_pct,max_risk_trend_pct,max_risk_div_a_pct,max_risk_div_b_pct,max_n_range_tranches_open,max_n_range_reverses_open,max_trend_campaign_open,max_trend_reverse_open,max_pattern_a_open,max_pattern_b_open,max_n_systems_open
ETHUSDT,TRES_AGRESSIF,2026,1087,1.0,0,0,3,0,False,False,13461,2026-02-21T12:00:00.000000,0.0,0.0,1.0,0.0,0,0,False,False,True,False,1
BNBUSDT,FAIBLE,2020,1954,8.0,45,1,61,3,True,True,1122,2020-08-15T08:00:00.000000,3.0,5.0,0.0,0.0,3,0,True,False,False,False,2
BNBUSDT,FAIBLE,2021,2190,4.0,85,0,69,18,False,True,1970,2021-01-03T16:00:00.000000,3.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BNBUSDT,FAIBLE,2022,2190,3.0,3,0,38,0,False,True,6008,2022-11-07T16:00:00.000000,2.0,0.0,1.0,0.0,2,0,False,False,True,False,2
BNBUSDT,FAIBLE,2023,2190,3.0,26,0,53,4,False,True,6971,2023-04-17T04:00:00.000000,3.0,0.0,0.0,0.0,3,0,False,False,False,False,1
BNBUSDT,FAIBLE,2024,2196,7.3021,131,2,66,13,True,True,10337,2024-10-29T04:00:00.000000,3.0,4.3021,0.0,0.0,3,0,True,False,False,False,2
BNBUSDT,FAIBLE,2025,2190,4.0,70,0,29,9,False,True,11963,2025-07-27T04:00:00.000000,3.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BNBUSDT,FAIBLE,2026,1087,1.0,0,0,13,0,False,False,13703,2026-05-13T04:00:00.000000,0.0,0.0,1.0,0.0,0,0,False,False,True,False,1
BNBUSDT,MODERE,2020,1954,7.0,45,3,61,3,True,True,1937,2020-12-29T04:00:00.000000,6.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BNBUSDT,MODERE,2021,2190,7.0,85,3,69,18,True,True,1970,2021-01-03T16:00:00.000000,6.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BNBUSDT,MODERE,2022,2190,5.0,3,1,38,0,False,True,6008,2022-11-07T16:00:00.000000,4.0,0.0,1.0,0.0,2,0,False,False,True,False,2
BNBUSDT,MODERE,2023,2190,6.0,26,0,53,4,True,True,6971,2023-04-17T04:00:00.000000,6.0,0.0,0.0,0.0,3,0,False,False,False,False,1
BNBUSDT,MODERE,2024,2196,7.0,131,8,66,13,True,True,9131,2024-04-11T04:00:00.000000,6.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BNBUSDT,MODERE,2025,2190,7.0,70,0,29,9,True,True,11963,2025-07-27T04:00:00.000000,6.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BNBUSDT,MODERE,2026,1087,1.2752,0,1,13,0,False,False,13019,2026-01-19T04:00:00.000000,0.0,0.5252,0.75,0.0,0,0,True,False,True,False,2
BNBUSDT,AGRESSIF,2020,1954,10.0,45,3,61,3,True,True,1034,2020-07-31T16:00:00.000000,9.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BNBUSDT,AGRESSIF,2021,2190,10.0,85,3,69,18,True,True,1970,2021-01-03T16:00:00.000000,9.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BNBUSDT,AGRESSIF,2022,2190,7.0,3,1,38,0,True,True,6008,2022-11-07T16:00:00.000000,6.0,0.0,1.0,0.0,2,0,False,False,True,False,2
BNBUSDT,AGRESSIF,2023,2190,9.0,26,0,53,4,True,True,6971,2023-04-17T04:00:00.000000,9.0,0.0,0.0,0.0,3,0,False,False,False,False,1
BNBUSDT,AGRESSIF,2024,2196,10.0,131,8,66,13,True,True,8795,2024-02-15T04:00:00.000000,9.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BNBUSDT,AGRESSIF,2025,2190,10.0,70,0,29,9,True,True,11963,2025-07-27T04:00:00.000000,9.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BNBUSDT,AGRESSIF,2026,1087,2.0505,0,1,13,0,False,True,13019,2026-01-19T04:00:00.000000,0.0,1.0505,1.0,0.0,0,0,True,False,True,False,2
BNBUSDT,TRES_AGRESSIF,2020,1954,16.0,46,3,61,3,True,True,1034,2020-07-31T16:00:00.000000,15.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BNBUSDT,TRES_AGRESSIF,2021,2190,16.0,87,3,69,18,True,True,1970,2021-01-03T16:00:00.000000,15.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BNBUSDT,TRES_AGRESSIF,2022,2190,11.0,3,1,38,0,True,True,6008,2022-11-07T16:00:00.000000,10.0,0.0,1.0,0.0,2,0,False,False,True,False,2
BNBUSDT,TRES_AGRESSIF,2023,2190,14.1044,26,0,53,4,True,True,6971,2023-04-17T04:00:00.000000,14.1044,0.0,0.0,0.0,3,0,False,False,False,False,1
BNBUSDT,TRES_AGRESSIF,2024,2196,16.0,134,8,66,13,True,True,8860,2024-02-26T00:00:00.000000,15.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BNBUSDT,TRES_AGRESSIF,2025,2190,16.0,76,0,29,9,True,True,11963,2025-07-27T04:00:00.000000,15.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BNBUSDT,TRES_AGRESSIF,2026,1087,3.101,0,1,13,0,False,True,13019,2026-01-19T04:00:00.000000,0.0,2.101,1.0,0.0,0,0,True,False,True,False,2
SOLUSDT,FAIBLE,2020,653,1.0,0,0,5,0,False,False,384,2020-11-17T04:00:00.000000,0.0,0.0,1.0,0.0,0,0,False,False,True,False,1
SOLUSDT,FAIBLE,2021,2190,4.3528,37,1,57,12,False,True,2602,2021-11-21T20:00:00.000000,0.5,3.8528,0.0,0.0,1,0,True,False,False,False,2
SOLUSDT,FAIBLE,2022,2190,1.0,0,0,9,0,False,False,3387,2022-04-01T16:00:00.000000,0.0,0.0,1.0,0.0,0,0,False,False,True,False,1
SOLUSDT,FAIBLE,2023,2190,5.4862,32,2,42,4,True,True,5740,2023-04-28T20:00:00.000000,0.0,4.4862,1.0,0.0,0,0,True,False,True,False,2
SOLUSDT,FAIBLE,2024,2196,4.0,75,0,35,21,False,True,7288,2024-01-11T20:00:00.000000,3.0,0.0,0.0,1.0,3,0,True,False,False,True,3
SOLUSDT,FAIBLE,2025,2190,4.0,45,0,44,11,False,True,10949,2025-09-13T00:00:00.000000,3.0,0.0,1.0,0.0,3,0,False,False,True,False,2
SOLUSDT,FAIBLE,2026,1087,1.0,0,0,6,0,False,False,11988,2026-03-05T04:00:00.000000,0.0,0.0,1.0,0.0,0,0,False,False,True,False,1
SOLUSDT,MODERE,2020,653,1.0,0,0,5,0,False,False,384,2020-11-17T04:00:00.000000,0.0,0.0,1.0,0.0,0,0,False,False,True,False,1
SOLUSDT,MODERE,2021,2190,7.0,37,1,57,12,True,True,2046,2021-08-21T04:00:00.000000,6.0,0.0,1.0,0.0,3,0,False,False,True,False,2
SOLUSDT,MODERE,2022,2190,1.0,0,0,9,0,False,False,3387,2022-04-01T16:00:00.000000,0.0,0.0,1.0,0.0,0,0,False,False,True,False,1
SOLUSDT,MODERE,2023,2190,7.0,32,2,42,4,True,True,6852,2023-10-31T04:00:00.000000,6.0,0.0,1.0,0.0,3,0,False,False,True,False,2
SOLUSDT,MODERE,2024,2196,7.0,75,4,35,21,True,True,7288,2024-01-11T20:00:00.000000,6.0,0.0,0.0,1.0,3,0,False,False,False,True,2
