symbol,profile,year,n_bars,d1_channel_coverage_%,ema_atr_d1_n_trades,ema_atr_d1_max_dd_%,ema_atr_d1_total_return_%,ema_atr_d1_win_rate_%,ema_atr_d1_profit_factor,manual_channel_d1_n_trades,manual_channel_d1_max_dd_%,manual_channel_d1_total_return_%,manual_channel_d1_win_rate_%,manual_channel_d1_profit_factor
SOLUSDT,FAIBLE,2022,2190,99.53,0,0.0,0.0,,,0,0.0,0.0,,
SOLUSDT,FAIBLE,2023,2190,99.53,32,-0.7,6.2,62.5,19.81,37,-5.8,52.4,48.6,43.74
SOLUSDT,FAIBLE,2024,2196,99.53,75,-2.0,-0.5,46.7,0.89,84,-8.3,2.4,38.1,1.6
SOLUSDT,FAIBLE,2025,2190,99.53,45,-1.2,3.3,44.4,3.35,57,-5.0,9.6,29.8,2.92
SOLUSDT,FAIBLE,2026,1087,99.53,0,0.0,0.0,,,0,0.0,0.0,,
SOLUSDT,MODERE,2020,653,99.53,0,0.0,0.0,,,0,0.0,0.0,,
SOLUSDT,MODERE,2021,2190,99.53,37,-1.2,3.0,45.9,2.19,47,-4.1,32.8,34.0,14.59
SOLUSDT,MODERE,2022,2190,99.53,0,0.0,0.0,,,0,0.0,0.0,,
SOLUSDT,MODERE,2023,2190,99.53,32,-2.1,14.8,62.5,22.56,37,-9.5,90.3,48.6,38.83
SOLUSDT,MODERE,2024,2196,99.53,75,-4.7,-0.7,46.7,0.96,84,-8.3,-0.1,38.1,1.13
SOLUSDT,MODERE,2025,2190,99.53,45,-3.0,7.6,44.4,3.66,57,-7.3,12.7,29.8,2.74
SOLUSDT,MODERE,2026,1087,99.53,0,0.0,0.0,,,0,0.0,0.0,,
SOLUSDT,AGRESSIF,2020,653,99.53,0,0.0,0.0,,,0,0.0,0.0,,
SOLUSDT,AGRESSIF,2021,2190,99.53,37,-1.9,4.9,45.9,2.28,47,-4.5,37.4,34.0,12.54
SOLUSDT,AGRESSIF,2022,2190,99.53,0,0.0,0.0,,,0,0.0,0.0,,
SOLUSDT,AGRESSIF,2023,2190,99.53,32,-4.1,25.1,62.5,24.42,37,-13.1,122.0,48.6,34.04
SOLUSDT,AGRESSIF,2024,2196,99.53,75,-7.8,0.3,46.7,1.14,84,-14.4,-2.9,38.1,0.94
SOLUSDT,AGRESSIF,2025,2190,99.53,45,-5.4,12.5,44.4,3.88,57,-8.7,16.6,29.8,2.88
SOLUSDT,AGRESSIF,2026,1087,99.53,0,0.0,0.0,,,0,0.0,0.0,,
SOLUSDT,TRES_AGRESSIF,2020,653,99.53,0,0.0,0.0,,,0,0.0,0.0,,
SOLUSDT,TRES_AGRESSIF,2021,2190,99.53,38,-3.1,9.6,44.7,2.5,48,-6.8,48.4,33.3,11.9
SOLUSDT,TRES_AGRESSIF,2022,2190,99.53,0,0.0,0.0,,,0,0.0,0.0,,
SOLUSDT,TRES_AGRESSIF,2023,2190,99.53,38,-6.7,54.0,52.6,25.12,43,-15.9,186.4,41.9,27.05
SOLUSDT,TRES_AGRESSIF,2024,2196,99.53,75,-16.3,-3.7,44.0,0.78,84,-19.7,-9.3,35.7,0.69
SOLUSDT,TRES_AGRESSIF,2025,2190,99.53,46,-7.9,20.7,43.5,3.89,58,-8.7,20.2,29.3,2.96
SOLUSDT,TRES_AGRESSIF,2026,1087,99.53,0,0.0,0.0,,,0,0.0,0.0,,
