symbol,profile,space_gate,n_trades,final_equity,max_dd_%,total_return_%,win_rate_%,profit_factor,avg_trade_%,time_ACCUMULATION_%,time_POST_BREAKOUT_%,time_PULLBACK_WATCH_%,time_EXCESS_WATCH_%
ETHUSDT,MODERE,off,8,0.9720846384580888,-3.3,-2.8,0.0,0.0,-0.333,0.1,0.0,0.0,0.0
ETHUSDT,MODERE,on_x0.5,8,0.9720846384580888,-3.3,-2.8,0.0,0.0,-0.333,0.1,0.0,0.0,0.0
ETHUSDT,MODERE,on_x1.0,8,0.9720846384580888,-3.3,-2.8,0.0,0.0,-0.333,0.1,0.0,0.0,0.0
ETHUSDT,MODERE,on_x1.5,8,0.9720846384580888,-3.3,-2.8,0.0,0.0,-0.333,0.1,0.0,0.0,0.0
ETHUSDT,AGRESSIF,off,8,0.944848790688941,-6.5,-5.5,0.0,0.0,-0.666,0.1,0.0,0.0,0.0
ETHUSDT,AGRESSIF,on_x0.5,8,0.944848790688941,-6.5,-5.5,0.0,0.0,-0.666,0.1,0.0,0.0,0.0
ETHUSDT,AGRESSIF,on_x1.0,8,0.944848790688941,-6.5,-5.5,0.0,0.0,-0.666,0.1,0.0,0.0,0.0
ETHUSDT,AGRESSIF,on_x1.5,8,0.944848790688941,-6.5,-5.5,0.0,0.0,-0.666,0.1,0.0,0.0,0.0
ETHUSDT,TRES_AGRESSIF,off,8,0.8923589996614573,-12.7,-10.8,0.0,0.0,-1.333,0.1,0.0,0.0,0.0
ETHUSDT,TRES_AGRESSIF,on_x0.5,8,0.8923589996614573,-12.7,-10.8,0.0,0.0,-1.333,0.1,0.0,0.0,0.0
ETHUSDT,TRES_AGRESSIF,on_x1.0,8,0.8923589996614573,-12.7,-10.8,0.0,0.0,-1.333,0.1,0.0,0.0,0.0
ETHUSDT,TRES_AGRESSIF,on_x1.5,8,0.8923589996614573,-12.7,-10.8,0.0,0.0,-1.333,0.1,0.0,0.0,0.0
BNBUSDT,FAIBLE,off,3,1.0106516321030525,-1.6,1.1,100.0,,0.424,3.2,0.0,0.0,0.0
BNBUSDT,FAIBLE,on_x0.5,2,1.0030089090171408,-1.5,0.3,50.0,3.3,0.206,3.6,0.1,0.0,0.0
BNBUSDT,FAIBLE,on_x1.0,2,1.0030089090171408,-1.5,0.3,50.0,3.3,0.206,3.6,0.1,0.0,0.0
BNBUSDT,FAIBLE,on_x1.5,1,0.9975981909032414,-1.1,-0.2,0.0,0.0,-0.179,4.4,0.0,0.0,0.0
BNBUSDT,MODERE,off,16,0.9190665389121896,-8.1,-8.1,0.0,0.0,-0.505,0.2,0.0,0.0,0.0
BNBUSDT,MODERE,on_x0.5,16,0.9190665389121896,-8.1,-8.1,0.0,0.0,-0.505,0.2,0.0,0.0,0.0
