asset,profile,entry,val_px,conf_px_h4,conf_px_ut2,val_i,conf_h4_i,conf_ut2_i
BTCUSDT,FAIBLE,37253.6,41397.5,42403.5,70010.4,,,
BTCUSDT,FAIBLE,37330.3,41309.9,42480.200000000004,70087.1,,,
BTCUSDT,FAIBLE,37460.6,41014.299999999996,41884.5,70217.4,,,
BTCUSDT,FAIBLE,37584.5,40098.4,41728.4,70341.3,,,
BTCUSDT,FAIBLE,37749.8,40339.100000000006,41803.4,70506.6,,,
BTCUSDT,FAIBLE,38217.3,41031.600000000006,42196.0,70974.1,,,
BTCUSDT,FAIBLE,38750.0,41039.0,42128.3,71506.8,,,
BTCUSDT,FAIBLE,44209.6,49018.5,52288.9,76966.4,,,
BTCUSDT,FAIBLE,42726.8,46887.7,50063.200000000004,75483.6,,,
BTCUSDT,FAIBLE,43269.9,47222.4,50606.3,76026.7,,,
BTCUSDT,FAIBLE,42724.8,46595.7,50061.200000000004,75481.6,,,
BTCUSDT,FAIBLE,42800.0,46670.899999999994,50136.4,75556.8,,,
BTCUSDT,FAIBLE,43004.0,46000.2,47555.0,75760.8,,,
BTCUSDT,FAIBLE,42950.0,45946.2,47501.0,75706.8,,,
BTCUSDT,FAIBLE,44078.9,47909.7,48629.9,76835.7,,,
BTCUSDT,FAIBLE,43999.2,47929.399999999994,48550.2,76756.0,,,
BTCUSDT,FAIBLE,42727.7,45294.5,46657.899999999994,72063.8,9459.0,9498.0,
BTCUSDT,FAIBLE,45434.9,49716.700000000004,50446.1,74771.0,,,
BTCUSDT,FAIBLE,45495.6,50045.200000000004,50774.6,74831.7,,,
BTCUSDT,FAIBLE,47007.1,52019.1,53986.1,77513.9,,,
BTCUSDT,FAIBLE,42654.0,47564.0,51348.5,76238.3,,,
BTCUSDT,FAIBLE,42918.3,44793.8,51612.8,76502.6,,,
BTCUSDT,FAIBLE,41638.4,44927.4,50365.9,75222.70000000001,,,
BTCUSDT,FAIBLE,52424.0,55540.6,63106.3,89839.8,,,
BTCUSDT,FAIBLE,52157.5,54369.0,62839.8,89573.3,,,
BTCUSDT,FAIBLE,52297.3,54740.700000000004,62828.4,89713.1,,,
BTCUSDT,FAIBLE,61641.0,69865.4,75428.3,99288.7,,,
BTCUSDT,FAIBLE,67220.0,77458.0,86057.3,116076.8,,,
BTCUSDT,FAIBLE,68336.3,79555.1,88154.40000000001,117193.1,,,
BTCUSDT,FAIBLE,69208.0,80426.8,88682.70000000001,118064.8,,,
BTCUSDT,FAIBLE,69429.9,80648.7,88838.2,118286.7,,,
BTCUSDT,FAIBLE,71223.9,78146.09999999999,91839.09999999999,126111.5,,,
BTCUSDT,FAIBLE,71558.6,79289.40000000001,92982.40000000001,126446.20000000001,,,
BTCUSDT,FAIBLE,72061.3,79224.5,93911.3,126948.90000000001,,,
BTCUSDT,FAIBLE,72964.1,80214.1,90258.5,127851.70000000001,,,
BTCUSDT,FAIBLE,73149.8,80784.8,90673.8,128037.40000000001,,,
BTCUSDT,FAIBLE,73399.9,80154.9,90529.59999999999,128287.5,,,
BTCUSDT,FAIBLE,70904.5,77785.9,85785.9,125792.1,,,
BTCUSDT,FAIBLE,67260.9,74754.79999999999,80342.29999999999,125699.09999999999,,,
BTCUSDT,FAIBLE,71019.6,79789.20000000001,84101.0,129457.8,,,
BTCUSDT,FAIBLE,69920.6,78854.90000000001,83002.0,128358.8,,,
BTCUSDT,FAIBLE,70535.0,79890.0,83616.4,128973.2,,,
BTCUSDT,FAIBLE,70044.2,79399.2,83125.59999999999,128482.4,,,
BTCUSDT,FAIBLE,70290.2,79645.2,83371.59999999999,128728.4,,,
BTCUSDT,FAIBLE,68707.7,78301.7,81789.09999999999,127145.9,,,
BTCUSDT,FAIBLE,69532.6,78400.40000000001,82614.0,127970.8,,,
BTCUSDT,FAIBLE,70367.5,73890.7,81455.5,128805.7,,,
BTCUSDT,FAIBLE,70446.2,73969.4,81534.2,128884.4,,,
